,省份,城市,河流,流域,断面名称,水质类别,水温,pH,pH类别,溶解氧,溶解氧类别,高锰酸盐指数,高锰酸盐类别,氨氮,氨氮类别,总磷,总氮,电导率,浊度,叶绿素,藻密度,站点情况
2020-11-09 00:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅱ,17.1,7.76,-,6.98,-,1.1,-,0.162,-,0.087,2.54,601.0,8.6,-2.0,-2.0,正常
2020-11-09 04:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅲ,16.8,7.7,-,5.95,-,0.93,-,0.14,-,0.079,2.34,606.0,6.8,-2.0,-2.0,正常
2020-11-09 08:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅱ,16.3,7.76,-,6.76,-,1.12,-,0.198,-,0.09,2.64,609.0,9.4,-2.0,-2.0,正常
2020-11-09 12:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅱ,19.6,8.21,-,15.01,-,1.02,-,0.123,-,0.071,2.37,600.0,11.3,-2.0,-2.0,正常
2020-11-09 16:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅱ,19.6,8.31,-,15.1,-,1.16,-,0.089,-,0.084,2.32,589.0,9.7,-2.0,-2.0,正常
2020-11-09 20:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅱ,17.5,7.82,-,8.26,-,1.01,-,0.098,-,0.078,2.12,600.0,8.9,-2.0,-2.0,正常
2020-11-10 00:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅱ,16.9,7.82,-,8.53,-,1.13,-,0.122,-,0.081,2.43,597.0,8.1,-2.0,-2.0,正常
2020-11-10 04:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅱ,17.0,7.75,-,7.36,-,0.86,-,0.093,-,0.067,2.14,599.0,8.8,-2.0,-2.0,正常
2020-11-10 08:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅱ,17.1,7.78,-,8.07,-,0.97,-,0.122,-,0.072,2.31,595.0,9.3,-2.0,-2.0,正常
2020-11-10 12:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅱ,18.3,7.95,-,12.24,-,0.97,-,0.122,-,0.072,2.31,597.0,10.1,-2.0,-2.0,正常
2020-11-10 16:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅱ,19.1,8.56,-,23.26,-,2.12,-,0.09,-,0.073,2.43,581.0,13.3,-2.0,-2.0,正常
2020-11-10 20:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅱ,18.0,7.8,-,8.89,-,1.34,-,0.062,-,0.064,1.94,601.0,10.1,-2.0,-2.0,正常
2020-11-11 00:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅱ,17.6,7.76,-,8.14,-,1.46,-,0.14,-,0.096,2.54,602.0,10.8,-2.0,-2.0,正常
2020-11-11 04:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅱ,17.5,7.74,-,7.47,-,1.64,-,0.15,-,0.098,2.63,606.0,10.7,-2.0,-2.0,正常
2020-11-11 08:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅱ,17.4,7.81,-,9.08,-,1.32,-,0.154,-,0.086,2.7,599.0,9.8,-2.0,-2.0,正常
2020-11-11 12:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅱ,19.9,8.2,-,12.85,-,1.01,-,0.099,-,0.072,2.24,596.0,7.4,-2.0,-2.0,正常
2020-11-11 16:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅱ,19.8,8.13,-,10.82,-,1.19,-,0.093,-,0.078,2.19,614.0,7.1,-2.0,-2.0,正常
2020-11-11 20:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅱ,18.4,7.74,-,6.62,-,1.28,-,0.084,-,0.084,2.72,612.0,2.9,-2.0,-2.0,正常
2020-11-12 00:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅲ,18.0,7.55,-,5.55,-,1.18,-,0.071,-,0.072,2.15,619.0,2.8,-2.0,-2.0,正常
2020-11-12 04:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅳ,17.9,7.45,-,4.74,-,1.13,-,0.098,-,0.079,2.45,624.0,2.7,-2.0,-2.0,正常
2020-11-12 08:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅲ,17.7,7.51,-,5.56,-,1.29,-,0.152,-,0.086,2.74,618.0,2.8,-2.0,-2.0,正常
2020-11-12 12:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅱ,19.4,7.86,-,9.72,-,1.08,-,0.099,-,0.074,2.26,619.0,2.6,-2.0,-2.0,正常
2020-11-12 16:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅱ,19.9,8.55,-,17.35,-,0.98,-,0.066,-,0.073,2.13,607.0,2.7,-2.0,-2.0,正常
2020-11-12 20:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅱ,18.7,7.82,-,8.98,-,1.22,-,0.077,-,0.071,2.18,646.0,2.3,-2.0,-2.0,正常
2020-11-13 00:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅴ,18.2,7.33,-,2.88,-,1.4,-,0.106,-,0.086,2.97,660.0,2.4,-2.0,-2.0,正常
2020-11-13 04:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅴ,17.8,7.29,-,2.54,-,1.55,-,0.331,-,0.118,3.53,661.0,2.3,-2.0,-2.0,正常
2020-11-13 08:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅴ,17.7,7.28,-,2.4,-,1.47,-,0.45,-,0.128,3.57,666.0,2.3,-2.0,-2.0,正常
2020-11-13 12:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅲ,18.4,7.5,-,6.57,-,1.4,-,0.645,-,0.133,3.67,638.0,2.7,-2.0,-2.0,正常
2020-11-13 16:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅲ,19.1,8.29,-,13.91,-,1.24,-,0.19,-,0.112,2.91,616.0,6.2,-2.0,-2.0,正常
2020-11-13 20:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅱ,18.2,7.68,-,7.4,-,1.2,-,0.058,-,0.08,2.13,644.0,2.3,-2.0,-2.0,正常
2020-11-14 00:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅱ,17.6,7.63,-,6.45,-,1.31,-,0.107,-,0.091,3.0,602.0,3.0,-2.0,-2.0,正常
2020-11-14 04:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅳ,17.4,7.49,-,4.99,-,1.31,-,0.06,-,0.082,2.0,619.0,2.9,-2.0,-2.0,正常
2020-11-14 08:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅳ,17.6,7.34,-,3.44,-,1.26,-,0.065,-,0.075,2.25,641.0,3.1,-2.0,-2.0,正常
2020-11-14 12:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅲ,19.9,7.89,-,10.73,-,1.58,-,0.338,-,0.125,3.46,624.0,2.7,-2.0,-2.0,正常
2020-11-14 16:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅱ,20.4,8.42,-,16.17,-,1.42,-,0.076,-,0.09,2.29,623.0,10.4,-2.0,-2.0,正常
2020-11-14 20:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅱ,19.1,7.66,-,7.23,-,1.48,-,0.081,-,0.089,2.62,654.0,2.1,-2.0,-2.0,正常
2020-11-15 00:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅴ,18.7,7.31,-,2.39,-,1.31,-,0.11,-,0.096,3.23,660.0,2.2,-2.0,-2.0,正常
2020-11-15 04:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅴ,18.4,7.28,-,2.22,-,1.56,-,0.357,-,0.127,3.49,659.0,2.2,-2.0,-2.0,正常
2020-11-15 08:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅴ,18.1,7.27,-,2.09,-,1.54,-,0.503,-,0.136,3.51,665.0,2.1,-2.0,-2.0,正常
2020-11-15 12:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅲ,19.1,7.73,-,8.92,-,1.55,-,0.62,-,0.137,3.7,617.0,3.0,-2.0,-2.0,正常
